algo, mean_error, std_error, mean_time, std_time
0.000000, 0.000000, 0.000000, 116.540825, 126.984220
0.010000, 0.004500, 0.002097, 105.786863, 113.048157
0.020000, 0.012410, 0.004888, 90.772144, 96.322162
0.030000, 0.019585, 0.007158, 79.814826, 82.859749
0.040000, 0.024957, 0.007676, 73.319119, 74.586540
0.050000, 0.030869, 0.011290, 71.421642, 72.393047
0.060000, 0.040840, 0.010344, 65.197503, 65.425113
0.070000, 0.037348, 0.015454, 61.031641, 59.582045
0.080000, 0.040616, 0.022382, 57.098397, 56.009965
0.090000, 0.057336, 0.012302, 51.592412, 49.792382
0.100000, 0.064096, 0.017068, 53.203581, 52.776666
0.110000, 0.060400, 0.023601, 50.432602, 53.662359
0.120000, 0.075883, 0.019688, 46.553673, 48.856788
0.130000, 0.074497, 0.020668, 40.919584, 44.483752
0.140000, 0.075981, 0.019650, 37.008734, 39.239386
0.150000, 0.071741, 0.024668, 29.756136, 27.311392
0.160000, 0.082387, 0.025767, 26.826638, 24.468836
0.170000, 0.082387, 0.025767, 32.140323, 35.810666
0.180000, 0.082387, 0.025767, 29.604668, 34.898338
0.190000, 0.082387, 0.025767, 28.130790, 32.457249
0.200000, 0.082387, 0.025767, 23.829132, 23.800831
0.210000, 0.082380, 0.025774, 22.304937, 23.068839
0.220000, 0.082380, 0.025774, 19.798581, 20.134719
0.230000, 0.082380, 0.025774, 19.040650, 18.875692
0.240000, 0.082380, 0.025774, 17.537995, 17.420195
