algo, mean_error, std_error, mean_time, std_time
0.000000, 0.000000, 0.000000, 88.854597, 109.412283
0.010000, 0.003947, 0.002742, 71.008025, 86.761417
0.020000, 0.008643, 0.005198, 60.792808, 75.247066
0.030000, 0.011570, 0.007134, 51.194354, 60.553617
0.040000, 0.016006, 0.010084, 42.603861, 49.338505
0.050000, 0.020119, 0.012703, 36.759068, 39.728412
0.060000, 0.025787, 0.015848, 30.696945, 32.226895
0.070000, 0.024638, 0.016744, 25.763331, 26.856768
0.080000, 0.032492, 0.021671, 22.944973, 23.097861
0.090000, 0.033307, 0.021869, 19.766153, 19.899469
0.100000, 0.034083, 0.022148, 17.768248, 18.270909
0.110000, 0.033764, 0.021420, 16.013053, 15.259113
0.120000, 0.035540, 0.020997, 14.806272, 13.971015
0.130000, 0.035169, 0.021907, 14.430717, 14.442220
0.140000, 0.037264, 0.021760, 12.974666, 11.891301
0.150000, 0.037142, 0.021413, 11.517029, 10.745559
0.160000, 0.037351, 0.021463, 10.028729, 9.878472
0.170000, 0.040267, 0.020682, 9.972342, 10.422828
0.180000, 0.040071, 0.019946, 8.324145, 7.663383
0.190000, 0.040718, 0.020702, 7.854174, 7.467727
0.200000, 0.039772, 0.020125, 7.457777, 6.695340
0.210000, 0.041526, 0.020100, 6.892510, 5.958546
0.220000, 0.042517, 0.021422, 6.010878, 5.359791
0.230000, 0.042608, 0.021057, 5.542032, 5.381896
0.240000, 0.042407, 0.021492, 4.981194, 4.860578
