25, Desicion Tree, iris, 0.060000, 0.000000
50, Desicion Tree, iris, 0.062000, 0.004269
100, Desicion Tree, iris, 0.057333, 0.009043
200, Desicion Tree, iris, 0.045333, 0.012579

25, Desicion Tree, letter, 0.559332, 0.074445
50, Desicion Tree, letter, 0.380666, 0.042748
100, Desicion Tree, letter, 0.217395, 0.061276
200, Desicion Tree, letter, 0.126929, 0.013171

25, Desicion Tree, gina-agnostic, 0.176178, 0.011315
50, Desicion Tree, gina-agnostic, 0.150862, 0.011159
100, Desicion Tree, gina-agnostic, 0.125146, 0.002989
200, Desicion Tree, gina-agnostic, 0.119406, 0.005510
